experiment_name,fold,best_val_acc,train_losses,val_losses,test_acc
exp2_2_deep,1,83.0,"[2.0560814967522254, 1.41619650217203, 0.9958518330867474, 0.7436769100335928, 0.5499585683529193, 0.4165881688778217, 0.30494584945531994, 0.21641177856005156, 0.15255396755842063, 0.10677773620073612, 0.076433934414616, 0.05264132813765453, 0.035837363881560474, 0.02615829614492563, 0.020492279687179968, 0.016085725635863267, 0.013282147666009573]","[1.7524434328079224, 1.3751000314950943, 1.1235739290714264, 1.0101630836725235, 0.8573523610830307, 0.781993180513382, 0.710360124707222, 0.6431460753083229, 0.6390124559402466, 0.6155111566185951, 0.5972980484366417, 0.610166996717453, 0.6570726037025452, 0.6201217025518417, 0.634725533425808, 0.6482636705040932, 0.6334918811917305]",
exp2_2_deep,2,81.5,"[2.040662224476154, 1.5573887825012207, 1.2136653340779817, 0.9246713427396921, 0.698222971879519, 0.4973700780134935, 0.3606365185517531, 0.25188926320809585, 0.17336294398857996, 0.1158167588023039, 0.08426825472941765, 0.060916028486994594, 0.047788177258693255, 0.0394288724145064, 0.026396119680542212, 0.026157553021151286, 0.017399651141693957, 0.014356805405651148, 0.013218355293457325, 0.01332650176034524, 0.012650886514725594]","[1.8996630609035492, 1.6405338943004608, 1.4036249667406082, 1.2025509774684906, 1.0289994478225708, 0.9596990197896957, 0.8684284389019012, 0.8445428758859634, 0.822255089879036, 0.8103291690349579, 0.8224165514111519, 0.8906929045915604, 0.8558640703558922, 0.8520685881376266, 0.8730961158871651, 0.8862380236387253, 0.890873096883297, 0.9174225926399231, 0.9211566522717476, 0.9352993369102478, 0.9462302476167679]",
exp2_2_deep,3,82.0,"[2.041576678936298, 1.3802275932752168, 0.921005652501033, 0.6604817899373862, 0.47052424916854274, 0.34516936311355007, 0.24389864275088677, 0.16151462094141886, 0.10894568379108723, 0.0748749991449026, 0.05114308214531495, 0.03499613874233686, 0.02614084058083021, 0.01886213678293503, 0.014481820524311982, 0.012001256171900492]","[1.784129410982132, 1.3389953076839447, 1.0573168843984604, 0.9634904563426971, 0.8559121489524841, 0.9346314519643784, 0.8838497623801231, 0.8997374847531319, 0.9346938505768776, 0.9451261088252068, 0.9408684521913528, 0.973023533821106, 1.0791355967521667, 1.0074886158108711, 1.0843952372670174, 1.0680077746510506]",
exp2_2_deep,4,85.5,"[2.119870140002324, 1.586831257893489, 1.184367849276616, 0.8681739889658414, 0.6244603372537173, 0.4483559039922861, 0.3187185296645531, 0.2291334833090122, 0.1670597866177559, 0.11301931309012267, 0.07836154504464223, 0.0545931111734647, 0.04150416057270307, 0.03452259259155163, 0.023473264219669197, 0.02233557216823101, 0.015022037765727593, 0.015038175938221125]","[1.8869488835334778, 1.5115337371826172, 1.1723367869853973, 0.9485207498073578, 0.7713693827390671, 0.6849899441003799, 0.634708896279335, 0.5765309631824493, 0.6445070952177048, 0.5878981351852417, 0.5815193355083466, 0.5614467561244965, 0.6415335237979889, 0.5671033039689064, 0.6198371425271034, 0.5953323543071747, 0.629138633608818, 0.6216424480080605]",
exp2_2_deep,5,79.39698492462311,"[2.0217800323779764, 1.5569603993342473, 1.1781652523921087, 0.856690879051502, 0.6004238357910743, 0.40592570488269514, 0.2854352971682182, 0.1890095449410952, 0.12728673334305102, 0.08365802065684246, 0.05850732985597391, 0.04368770495057106, 0.03638915717601776, 0.02594931674404786, 0.018649231212643478, 0.018613101484683845, 0.018126299748053916, 0.01868526841728733]","[1.990216463804245, 1.6669864505529404, 1.359408363699913, 1.1101429164409637, 0.934848889708519, 0.860023021697998, 0.7774009853601456, 0.7274446785449982, 0.7320123165845871, 0.7114222347736359, 0.7303836941719055, 0.7042127922177315, 0.7539326548576355, 0.7633421793580055, 0.7933147251605988, 0.7467344477772713, 0.7780996114015579, 0.7627571895718575]",
exp2_3_deep,1,85.5,"[2.138369294313284, 1.6628828782301683, 1.2501976994367747, 0.9350707806073703, 0.6693288271243756, 0.4514172604450813, 0.3051002656037991, 0.2014792664692952, 0.10926376999570774, 0.058605117293504566, 0.032815796681321584, 0.019246964930341795, 0.012567318331163663, 0.008899054740770506, 0.006773006833659915, 0.0054789114062889265, 0.004374298195426281, 0.00379795552446292, 0.0032388751502507008, 0.002753378384603331, 0.0024912847080626166, 0.002203091262624814]","[2.084677368402481, 1.7610964477062225, 1.4544899314641953, 1.228147342801094, 1.0344986617565155, 0.853618323802948, 0.743869811296463, 0.6181756183505058, 0.6248828917741776, 0.5967857986688614, 0.5858660414814949, 0.6096670776605606, 0.6084920167922974, 0.6075955033302307, 0.6118236035108566, 0.6278357207775116, 0.623273104429245, 0.6313029080629349, 0.6390631347894669, 0.6406705230474472, 0.6451243311166763, 0.6509056687355042]",
exp2_3_deep,2,81.0,"[2.1250004126475406, 1.555302042227525, 1.058978287073282, 0.7232707509627709, 0.5260238693310664, 0.3644974518280763, 0.26840857473703533, 0.18029406322882727, 0.11275165642683323, 0.07779092886126958, 0.06292788913616768, 0.04219702502282766, 0.02842704923107074, 0.024232993762080487, 0.014555762450282391, 0.012851424085406156, 0.018406468264472026, 0.014882431365549564, 0.0074791390126427775, 0.00706003479158076, 0.009789978628619932, 0.006978289671958639, 0.007837271174559226, 0.008261630616079155, 0.0072139328291926244, 0.0058658385129932026, 0.003630348275272319, 0.005598282114638446, 0.004939108737744391, 0.010359522452255568, 0.0066623611895080944, 0.006786110090056004, 0.004162670345976949]","[1.8905133605003357, 1.4617981314659119, 1.2051464766263962, 1.1050840318202972, 0.9607417359948158, 0.858037605881691, 0.899570494890213, 0.9290744587779045, 0.9412791281938553, 0.9721545949578285, 0.9464028775691986, 1.044441968202591, 0.9523552060127258, 1.053326778113842, 1.011164739727974, 1.1241982132196426, 1.0618614107370377, 1.0661233067512512, 1.0920889675617218, 1.2046409398317337, 1.126257985830307, 1.1273069977760315, 1.3657006621360779, 1.1631494164466858, 1.165892332792282, 1.1826436519622803, 1.2001714706420898, 1.228923037648201, 1.2157240957021713, 1.2311355769634247, 1.221955120563507, 1.290792465209961, 1.2619260400533676]",
exp2_3_deep,3,83.0,"[2.1243104934692383, 1.6071184598482573, 1.0542547702789307, 0.6426715025534997, 0.4459826120963463, 0.2876707728092487, 0.18349679502157065, 0.10582945897028996, 0.06547354276363666, 0.041299560178930945, 0.024402755455901988, 0.017345743898588877, 0.012464338841919716, 0.009145427351960769, 0.0073543070600583, 0.005998741871175857, 0.005031825741752982, 0.004340839267780001, 0.0037666836825127783, 0.0033171934774145484, 0.002899887335773271]","[2.0861612260341644, 1.6608828604221344, 1.2520388960838318, 0.9033888429403305, 0.8278181105852127, 1.1560655534267426, 1.063546098768711, 1.0713668316602707, 1.26773402094841, 1.1015387624502182, 1.2442276179790497, 1.2232914417982101, 1.2089427560567856, 1.3070659339427948, 1.2892212271690369, 1.3046496585011482, 1.3422361761331558, 1.3386753648519516, 1.3496071100234985, 1.381306380033493, 1.394784763455391]",
exp2_3_deep,4,86.0,"[2.140481655414288, 1.610273031088022, 1.1680045265417833, 0.8056659217064197, 0.5657496819129357, 0.37255101249768185, 0.2540335150865408, 0.15925657691863868, 0.09263116092636035, 0.051954925346833006, 0.03371793461533693, 0.022614665616017122, 0.0157159547536419, 0.014231242884237032, 0.01246032534310451, 0.01313677723877705, 0.008965444339152712, 0.009212979903587928, 0.005914782585862737, 0.006492549159492438, 0.007137332613078447, 0.011509799711907713, 0.01335909091330205, 0.006113538321537467, 0.008356021520180197, 0.008144442950232098, 0.009315367456740485, 0.0067504244641615795, 0.003609891443584974, 0.00467837528916649, 0.008938189143708978]","[1.928331434726715, 1.4935713559389114, 1.1065699458122253, 0.8584431558847427, 0.773198276758194, 0.6123640239238739, 0.6089434623718262, 0.5284100994467735, 0.5659189000725746, 0.4804926663637161, 0.6157575994729996, 0.5015480294823647, 0.6129549518227577, 0.580354206264019, 0.523167610168457, 0.6335552558302879, 0.5357605591416359, 0.5999873355031013, 0.5823602825403214, 0.6571552902460098, 0.5431205034255981, 0.8880801051855087, 0.5555838420987129, 0.6377354487776756, 0.6050500199198723, 0.6697383970022202, 0.6369790956377983, 0.6280500665307045, 0.6649238392710686, 0.6813280880451202, 0.6663720309734344]",
exp2_3_deep,5,79.39698492462311,"[2.1303547345674954, 1.5124484392312856, 0.9844162464141846, 0.6506777703762054, 0.433194848207327, 0.2968096538231923, 0.18392362961402306, 0.1118108515556042, 0.07636053086473392, 0.05422998606585539, 0.05164834656394445, 0.06015877884167891, 0.03765686400807821, 0.019984198949084833, 0.013758072128089575, 0.028829926248783104, 0.006145832110912754, 0.010999115595880609, 0.00569995498069777, 0.006528162092973406, 0.005670292705942232, 0.004720460292166815]","[1.9177148342132568, 1.3851618468761444, 1.1205887496471405, 0.9140913486480713, 0.8606156408786774, 0.7535411417484283, 0.8021235167980194, 0.7155495285987854, 0.7711921185255051, 0.8539142906665802, 0.9858881086111069, 0.6991840302944183, 0.7502163499593735, 0.7491918094456196, 0.7514222972095013, 0.8123516291379929, 0.77014584466815, 0.775322113186121, 0.7895405851304531, 0.8032923117280006, 0.8120597265660763, 0.8112230375409126]",
